Chencha Berrinches,Hotel California
No Doubt,Hey Baby
The Hillbilly Moon Explosion,Remember (Walking in the Sand)
Mick Jagger,God Gave Me Everything
Robbie Williams,The Road to Mandalay
Depeche Mode,Heaven
Mika,"Relax, Take It Easy"
The Killers,Battle Born
David Guetta,She Wolf (Falling to Pieces)
OneRepublic,All the Right Moves
Fly Project,Musica
Amy Macdonald,This Is the Life
Keane,Snowed Under
Morandi,Colors
Nelly Furtado,Turn Off the Light
Walk Off the Earth,Somebody That I Used to Know
Willie Bobo,Trinidad
The Monkees,"Mary, Mary"
Knoc-Turn'al,Muzik
Dusty Springfield,If You Go Away
Connie Francis,He's Just a Scientist
Peggy Lee,Fever
Green Day,Boulevard of Broken Dreams
Jamelia,Beware of the Dog
Michael Jackson,Billie Jean
Red Hot Chili Peppers,Californication
The Subways,Rock & Roll Queen
Kingdom Come,Should Have Known
Johnny Cash,Ring of Fire
Johnny Cash,Hurt
David Ippolito,Talk Louder
Simple Minds,Don't You (Forget About Me)
Avicii,Wake Me Up
Empire of the Sun,We Are the People
Fran,Hypnotized
Black Strobe,I'm a Man
Marky Mark,Good Vibrations (feat. Loleatta Holloway)
The Strokes,One Way Trigger
Wire,Adapt
R.E.M.,"What's The Frequency, Kenneth?"
The Verve,Rather Be
Nirvana,The Man Who Sold the World
Nirvana,Verse Chorus Verse
Nirvana,Dumb
Coldplay,Paradise
Swedish House Mafia,Greyhound
Kavinsky,Nightcall
TLC,Waterfalls
Carbon Based Lifeforms,Supersede
Jimi Hendrix,All Along The Watchtower [Alternate Take]
Depeche Mode,Freelove
Wolfsheim,Once in a Lifetime
And One,Military Fashion Show [Club Hit]
Marilyn Manson,Rock Is Dead
Rage Against the Machine,Wake Up
Arcade Fire,Normal Person
The Chemical Brothers,Hey Boy Hey Girl
RÜFÜS,Paris Collides
Bon Iver,Calgary
The Puppini Sisters,Mr Sandman
Die Antwoord,Enter the Ninja
Nish,Sagittarius [Alphazone Remix]
Bee Gees,Stayin' Alive
Mika,Elle me dit
Lake,No Wonder I
Blur,The Universal
Paul McCartney,Live and Let Die
Scissor Sisters,Take Your Mama
The Cranberries,Dreams
Clint Mansell,Leaving Earth
Bobby Darin,Dream Lover
Limp Bizkit,Take A Look Around
blink-182,Obvious
The xx,Together
Placebo,Rob the Bank
Keane,Perfect Symmetry
The Rolling Stones,Like a Rolling Stone
Avicii,I Could Be the One [Avicii Vs Nicky Romero]
Garbage,When I Grow Up
Phil Collins,In The Air Tonight
Cats on Fire,Your Woman
Gnarls Barkley,Crazy
Brandon Flowers,Crossfire
Evanescence,What You Want
MGMT,Kids
U2,Mysterious Ways
Quiet Riot,Cum on Feel the Noize
Michael Jackson,Thriller
The Handsome Family,Far from Any Road
Erasure,Always
Edie,Through
Nirvana,Smells Like Teen Spirit
Luciano Pavarotti,Please Forgive Me
Joan Baez,"Don't Think Twice, It's All Right"
Mumiy Troll,Tak Nado (That's How It Should Be)
Foreigner,I Want to Know What Love Is
Edie,Through
Ludovico Einaudi,Primavera
Rod Stewart,What A Wonderful World
Yes,Owner Of A Lonely Heart
Suede,Beautiful Ones
Machinae Supremacy,Death from Above
David Bowie,New Killer Star
Adele,Rolling in the Deep
Keane,Better Than This
The Darkness,I Believe in a Thing Called Love
The Offspring,Come Out and Play
Coldplay,Life In Technicolor ii
Alice Cooper,Ghouls Gone Wild
Red Hot Chili Peppers,Give It Away
The Chemical Brothers,Saturate
Madcon,Beggin
Korn,Coming Undone
Bob Dylan,Tangled up in Blue
Jazmine Sullivan,Bust Your Windows
Porter Robinson,Lionhearted
Bee Gees,Stayin' Alive
Moby,The Perfect Life (with Wayne Coyne)
Deadmau5,Phantoms Can't Hang
Suede,So Young
Galimatias,Pretty Thoughts
Hypocrisy,Eraser
Noisia,Tommy's Theme
Kasabian,Fire
